Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,7203364373,06 - Республика Ингушетия,г Карабулак,,01.08.2016,Нет,26.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,7202250373,72 - Тюменская область,г Тюмень,,01.08.2016,Нет,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,7804683977,78 - г.Санкт-Петербург,,,10.07.2021,Нет,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,7719644631,77 - г.Москва,,,01.08.2016,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,7735158734,77 - г.Москва,ГОРОД ЗЕЛЕНОГРАД,,10.01.2017,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,608007747,20 - Чеченская Республика,г Грозный,,10.09.2023,Да,35.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,5256111693,52 - Нижегородская область,г Нижний Новгород,,01.08.2016,Нет,37.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,7717760382,77 - г.Москва,,,01.08.2016,Да,6.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,6950216009,69 - Тверская область,г Тверь,,10.03.2018,Нет,25.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,2630047788,26 - Ставропольский край,г Минеральные Воды,,10.10.2016,Нет,70.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,7703821003,77 - г.Москва,,,01.08.2016,Да,30.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,3123465837,31 - Белгородская область,г Белгород,,10.02.2020,Нет,23.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,2538140256,25 - Приморский край,г Владивосток,,01.08.2016,Нет,42.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙДОМ""",Юридическое лицо,Малое предприятие,2508079526,25 - Приморский край,г Находка,,01.08.2016,Нет,30.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙКАРКАС""",Юридическое лицо,Малое предприятие,5906136730,18 - Удмуртская Республика,г Ижевск,,01.08.2016,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙМОНТАЖ""",Юридическое лицо,Малое предприятие,5906016577,02 - Республика Башкортостан,г Уфа,,01.08.2016,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙМОНТАЖ""",Юридическое лицо,Малое предприятие,5904333732,59 - Пермский край,г Пермь,,01.08.2016,Нет,3.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙМОНТАЖ""",Юридическое лицо,Малое предприятие,3123451506,31 - Белгородская область,г Белгород,,10.04.2019,Нет,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙНАДЗОР""",Юридическое лицо,Малое предприятие,5906124780,59 - Пермский край,г Пермь,,01.08.2016,Нет,48.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,1646044607,16 - Республика Татарстан (Татарстан),г Казань,,10.06.2017,Нет,24.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,3528235060,35 - Вологодская область,г Череповец,,10.08.2018,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙТРАНС""",Юридическое лицо,Малое предприятие,5507237430,77 - г.Москва,,,10.08.2017,Да,13.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХЭКСПЕРТ""",Юридическое лицо,Малое предприятие,7751026615,77 - г.Москва,,,10.09.2016,Да,27.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХЭНЕРГО""",Юридическое лицо,Малое предприятие,4401183849,44 - Костромская область,г Кострома,,10.11.2017,Нет,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХЭНЕРГОСЕРВИС""",Юридическое лицо,Малое предприятие,7706716800,77 - г.Москва,,,10.07.2023,Да,30.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИГНИС ГРУПП""",Юридическое лицо,Малое предприятие,7726462209,77 - г.Москва,,,10.03.2020,Нет,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИМ""",Юридическое лицо,Малое предприятие,9704176494,77 - г.Москва,,,10.12.2022,Нет,21.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИМЕР ИНЖИНИРИНГ""",Юридическое лицо,Среднее предприятие,1655399846,16 - Республика Татарстан (Татарстан),г Казань,,10.07.2023,Нет,82.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИС""",Юридическое лицо,Малое предприятие,7460045130,74 - Челябинская область,г Челябинск,,10.03.2019,Да,79.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИСА""",Юридическое лицо,Малое предприятие,1503014820,15 - Республика Северная Осетия - Алания,г Владикавказ,,01.08.2016,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИСБИЗНЕССТРОЙ""",Юридическое лицо,Малое предприятие,2723163138,27 - Хабаровский край,г Хабаровск,,01.08.2016,Нет,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН - 100""",Юридическое лицо,Малое предприятие,7701976548,77 - г.Москва,,,01.08.2016,Нет,25.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН ""Л""",Юридическое лицо,Малое предприятие,4824067811,48 - Липецкая область,г Липецк,,01.08.2016,Да,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН-2000""",Юридическое лицо,Малое предприятие,5504058457,55 - Омская область,г Омск,,01.08.2016,Да,88.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН""",Юридическое лицо,Малое предприятие,7714324469,77 - г.Москва,,,01.08.2016,Да,38.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН""",Юридическое лицо,Малое предприятие,5047126449,50 - Московская область,г Химки,,01.08.2016,Нет,26.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН""",Юридическое лицо,Малое предприятие,3702688986,37 - Ивановская область,г Иваново,,01.08.2016,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН""",Юридическое лицо,Малое предприятие,4501023951,45 - Курганская область,г Курган,,01.08.2016,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН""",Юридическое лицо,Малое предприятие,3906371426,39 - Калининградская область,г Калининград,,10.09.2018,Нет,45.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН""",Юридическое лицо,Малое предприятие,6164122224,61 - Ростовская область,г Ростов-на-Дону,,10.07.2018,Нет,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН+""",Юридическое лицо,Малое предприятие,3811432494,38 - Иркутская область,г Иркутск,,01.08.2016,Да,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАНЕТ""",Юридическое лицо,Малое предприятие,7806504574,78 - г.Санкт-Петербург,,,01.08.2016,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИХООКЕАНСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ НОМЕР 1""",Юридическое лицо,Малое предприятие,2503028542,25 - Приморский край,г Фокино,,01.08.2016,Нет,59.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТК АВЕНЮ ГРУПП""",Юридическое лицо,Малое предприятие,7727426620,77 - г.Москва,,,10.09.2019,Нет,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТК ПРОМСТРОЙМОНТАЖ""",Юридическое лицо,Малое предприятие,6685016867,66 - Свердловская область,г Екатеринбург,,01.08.2016,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТК ПРОФЕССИОНАЛ""",Юридическое лицо,Малое предприятие,7714458487,77 - г.Москва,,,10.03.2020,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТК-ПРОГРЕСС""",Юридическое лицо,Малое предприятие,7733302647,77 - г.Москва,,,10.10.2016,Нет,28.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТК-СТРОЙ""",Юридическое лицо,Малое предприятие,7460051342,74 - Челябинская область,г Челябинск,,10.03.2021,Нет,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТКО-СТРОЙ""",Юридическое лицо,Малое предприятие,7720650397,77 - г.Москва,,,10.01.2021,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТКП""",Юридическое лицо,Малое предприятие,6829031844,77 - г.Москва,,,01.08.2016,Нет,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТКС""",Юридическое лицо,Среднее предприятие,7734397426,77 - г.Москва,,,10.08.2019,Да,128.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТМ""",Юридическое лицо,Малое предприятие,7810990221,78 - г.Санкт-Петербург,,,01.08.2016,Да,26.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТМГ ГРУП""",Юридическое лицо,Малое предприятие,7705405168,78 - г.Санкт-Петербург,,,01.08.2016,Да,76.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТМК И К""",Юридическое лицо,Малое предприятие,2302037547,23 - Краснодарский край,г Армавир,,01.08.2016,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТНК""",Юридическое лицо,Малое предприятие,5905952421,59 - Пермский край,г Пермь,,01.08.2016,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОБОЛ""",Юридическое лицо,Среднее предприятие,5506004658,55 - Омская область,г Омск,,01.08.2016,Да,227.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОБОЛПРОМРЕСУРС""",Юридическое лицо,Малое предприятие,7206048626,72 - Тюменская область,г Тобольск,,01.08.2016,Да,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОИР-СТРОЙ""",Юридическое лицо,Малое предприятие,5263051318,52 - Нижегородская область,г Нижний Новгород,,01.08.2016,Нет,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОЙМА""",Юридическое лицо,Малое предприятие,2908002694,29 - Архангельская область,,с Верхняя Тойма,01.08.2016,Да,23.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОК""",Юридическое лицо,Малое предприятие,7838406555,78 - г.Санкт-Петербург,,,01.08.2016,Да,30.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОКМЭН""",Юридическое лицо,Малое предприятие,2543044734,25 - Приморский край,г Владивосток,,01.08.2016,Да,3.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОМИЛИНО-СТРОЙ""",Юридическое лицо,Малое предприятие,5027258207,50 - Московская область,г Люберцы,рп Томилино,10.12.2017,Нет,23.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОМРЕГИОНСТРОЙ""",Юридическое лицо,Малое предприятие,7017403280,70 - Томская область,г Томск,,01.08.2016,Нет,54.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОМСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,7017334565,70 - Томская область,г Томск,,01.08.2016,Нет,39.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОМСКЭЛЕКТРОСЕТЬСЕРВИС""",Юридическое лицо,Малое предприятие,7017142045,70 - Томская область,г Томск,,01.08.2016,Нет,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОМТЕХ ИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,7017488491,70 - Томская область,г Томск,,10.12.2021,Нет,38.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОНСТРОЙ""",Юридическое лицо,Малое предприятие,7703547625,77 - г.Москва,,,01.08.2016,Нет,13.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОР""",Юридическое лицо,Малое предприятие,9723168731,77 - г.Москва,,,10.10.2022,Нет,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГ ФЛЕКС""",Юридическое лицо,Малое предприятие,7720498030,77 - г.Москва,,,10.09.2023,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВАЯ КОМПАНИЯ ""ВОЛГОВЯТСНАБ""",Юридическое лицо,Малое предприятие,5262078074,52 - Нижегородская область,г Нижний Новгород,,01.08.2016,Да,97.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-ПРОМЫШЛЕННАЯ ФИРМА ""КОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,7714230309,50 - Московская область,г Видное,,01.08.2016,Да,38.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-СЕРВИСНЫЙ ЦЕНТР ""СПЕКТР""",Юридическое лицо,Малое предприятие,7804193404,78 - г.Санкт-Петербург,,,01.08.2016,Да,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""АРТСТРОЙ""",Юридическое лицо,Малое предприятие,326538443,23 - Краснодарский край,г Сочи,с Веселое,01.08.2016,Нет,42.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ВЕЛИКИЙ НОВГОРОД""",Юридическое лицо,Малое предприятие,5321178517,78 - г.Санкт-Петербург,,,10.08.2017,Нет,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""НОВЫЙ ВЕК""",Юридическое лицо,Малое предприятие,7452122624,74 - Челябинская область,г Челябинск,,01.08.2016,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ОЛИМП""",Юридическое лицо,Малое предприятие,4205310949,78 - г.Санкт-Петербург,,,01.08.2016,Нет,24.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ САТУРН""",Юридическое лицо,Малое предприятие,6452951813,77 - г.Москва,,,01.08.2016,Нет,6.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ ЭНГЕЛЬССТРОЙ""",Юридическое лицо,Малое предприятие,6449009546,77 - г.Москва,,,10.07.2022,Да,7.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""АЗС ОБОРУДОВАНИЕ""",Юридическое лицо,Малое предприятие,6658408181,66 - Свердловская область,г Екатеринбург,,01.08.2016,Да,68.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""ДИН""",Юридическое лицо,Малое предприятие,7813254413,78 - г.Санкт-Петербург,,п Шушары,01.08.2016,Нет,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ НАПИТКИ УРАЛА""",Юридическое лицо,Малое предприятие,6670352915,66 - Свердловская область,г Екатеринбург,,01.08.2016,Да,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГСТРОЙ""",Юридическое лицо,Малое предприятие,2311074496,23 - Краснодарский край,г Краснодар,,01.08.2016,Нет,42.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГТРАНС""",Юридическое лицо,Малое предприятие,3525430591,35 - Вологодская область,г Вологда,,10.10.2018,Нет,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРМУН""",Юридическое лицо,Малое предприятие,9718178710,77 - г.Москва,,,10.07.2023,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРНАДО""",Юридическое лицо,Малое предприятие,7116153834,71 - Тульская область,г Новомосковск,,10.03.2017,Нет,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРНАДО""",Юридическое лицо,Малое предприятие,5260109792,52 - Нижегородская область,г Нижний Новгород,,01.08.2016,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРСЕДОР""",Юридическое лицо,Малое предприятие,5043044749,50 - Московская область,г Серпухов,,01.08.2016,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОТАЛ ПРОЕКТ""",Юридическое лицо,Малое предприятие,2540117350,25 - Приморский край,г Владивосток,,01.08.2016,Нет,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТР-СТРОЙ""",Юридическое лицо,Малое предприятие,5402053065,54 - Новосибирская область,г Новосибирск,,10.06.2019,Нет,29.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАВЕРС""",Юридическое лицо,Малое предприятие,7743210434,77 - г.Москва,,,10.06.2017,Нет,35.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАК-СЕРВИС""",Юридическое лицо,Малое предприятие,2704022685,27 - Хабаровский край,г Советская Гавань,,10.08.2018,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАМПЛИН-СТРОЙ""",Юридическое лицо,Малое предприятие,7802207193,78 - г.Санкт-Петербург,,,01.08.2016,Да,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНЗИТ""",Юридическое лицо,Малое предприятие,4519005054,45 - Курганская область,г Щучье,,01.08.2016,Нет,21.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНС СТРОЙ""",Юридическое лицо,Малое предприятие,6672326830,66 - Свердловская область,г Екатеринбург,,01.08.2016,Да,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНС-МИССИЯ""",Юридическое лицо,Малое предприятие,5044026848,50 - Московская область,г Солнечногорск,,01.08.2016,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНС-ОЙЛ""",Юридическое лицо,Среднее предприятие,7728547440,77 - г.Москва,,,01.08.2016,Да,50.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНС-СЕРВИС""",Юридическое лицо,Малое предприятие,606003296,06 - Республика Ингушетия,г Магас,,10.08.2018,Нет,62.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСАЛЬЯНССТРОЙ""",Юридическое лицо,Малое предприятие,7722331491,77 - г.Москва,,,10.08.2017,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСДОРСТРОЙ""",Юридическое лицо,Малое предприятие,6321367160,63 - Самарская область,г Тольятти,,01.08.2016,Да,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСЕПТ ГРУПП""",Юридическое лицо,Малое предприятие,7813355612,78 - г.Санкт-Петербург,,,01.08.2016,Да,33.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСКОМ""",Юридическое лицо,Малое предприятие,3443111040,34 - Волгоградская область,г Волгоград,,01.08.2016,Да,40.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСЛАЙН-СТРОЙ""",Юридическое лицо,Малое предприятие,7736672420,77 - г.Москва,,,01.08.2016,Нет,29.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСМОНОЛИТСЕРВИС""",Юридическое лицо,Малое предприятие,1513035730,15 - Республика Северная Осетия - Алания,г Владикавказ,,10.08.2017,Нет,21.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСОМЕГА""",Юридическое лицо,Малое предприятие,7720872752,77 - г.Москва,,,10.09.2022,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСПОРТ СТРОЙ КОМПЛЕКТ""",Юридическое лицо,Малое предприятие,5250074830,52 - Нижегородская область,г Кстово,,10.04.2021,Нет,57.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСПОРТ-ПРОФИ""",Юридическое лицо,Малое предприятие,7606101306,76 - Ярославская область,г Ярославль,,01.08.2016,Нет,26.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСПОРТНО - ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,7728328431,77 - г.Москва,,,01.08.2016,Нет,74.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСПОРТНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ - 47""",Юридическое лицо,Малое предприятие,4706038885,47 - Ленинградская область,г Кировск,,10.07.2017,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСПОРТНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,8911008023,89 - Ямало-Ненецкий автономный округ,г Губкинский,,01.08.2016,Нет,34.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСПОРТНЫЕ ТЕЛЕКОММУНИКАЦИИ""",Юридическое лицо,Малое предприятие,5406699999,54 - Новосибирская область,г Новосибирск,,01.08.2016,Да,33.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСПРОМЖИЛСТРОЙ-2005""",Юридическое лицо,Малое предприятие,7204097730,72 - Тюменская область,г Тюмень,,01.08.2016,Да,23.0
