Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НВБ ЭНЕРГИЯ""",Юридическое лицо,Малое предприятие,7719741321,77 - г.Москва,,,10.08.2017,Да,66.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ПРОЕКТ""",Юридическое лицо,Малое предприятие,7802148357,78 - г.Санкт-Петербург,,,10.08.2017,Да,50.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИИПРОМ""",Юридическое лицо,Малое предприятие,7718874505,77 - г.Москва,,,10.08.2017,Да,44.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВАЯ ТЕХНОЛОГИЯ""",Юридическое лицо,Малое предприятие,7202255830,72 - Тюменская область,г Тюмень,,10.08.2017,Да,98.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРДГРАД""",Юридическое лицо,Малое предприятие,7813427641,78 - г.Санкт-Петербург,,,10.08.2017,Да,85.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ ТРЕСТ ""СПЕЦГИДРОЭНЕРГОМОНТАЖ""",Юридическое лицо,Малое предприятие,7815014022,78 - г.Санкт-Петербург,,,10.08.2018,Да,9.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРЛАН""",Юридическое лицо,Малое предприятие,1655409759,16 - Республика Татарстан (Татарстан),г Казань,,10.12.2018,Нет,15.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА № 8""",Юридическое лицо,Среднее предприятие,2115000346,21 - Чувашская Республика - Чувашия,г Цивильск,,10.08.2017,Да,123.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТРОС""",Юридическое лицо,Малое предприятие,7816131635,78 - г.Санкт-Петербург,,,10.08.2017,Да,48.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОГРАНИЧНАЯ МЕЖХОЗЯЙСТВЕННАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""",Юридическое лицо,Малое предприятие,2525003164,25 - Приморский край,,пгт Пограничный,10.08.2017,Да,35.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОДРЯДЧИК""",Юридическое лицо,Малое предприятие,6316135260,63 - Самарская область,г Самара,,10.08.2017,Да,9.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИОРИТЕТ-СТРОЙ ИНЖИНИРИНГ""",Юридическое лицо,Среднее предприятие,7714938405,50 - Московская область,г Красногорск,,10.08.2017,Да,56.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОКОНС""",Юридическое лицо,Малое предприятие,7715278180,77 - г.Москва,,,10.07.2022,Да,
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМИНДУСТРИЯ АГ""",Юридическое лицо,Малое предприятие,7706194960,77 - г.Москва,,,10.08.2020,Да,37.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОММОНОЛИТ""",Юридическое лицо,Среднее предприятие,7803058547,78 - г.Санкт-Петербург,,,10.11.2021,Да,0.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМСТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,603282806,77 - г.Москва,,,10.07.2021,Да,50.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМСТРОЙТЕХНО-ИНВЕСТ""",Юридическое лицо,Малое предприятие,7709211195,77 - г.Москва,,,10.08.2020,Да,3.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОФИСТРОЙ""",Юридическое лицо,Малое предприятие,4401159638,44 - Костромская область,г Кострома,,10.08.2017,Да,40.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПТИЦЕСТРОЙ""",Юридическое лицо,Малое предприятие,3917000617,39 - Калининградская область,,п Малое Исаково,10.02.2022,Нет,16.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПУСК""",Юридическое лицо,Малое предприятие,6674164790,66 - Свердловская область,г Екатеринбург,,10.08.2017,Да,89.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНСТРОЙ""",Юридическое лицо,Малое предприятие,317002279,03 - Республика Бурятия,г Северобайкальск,,10.08.2017,Да,4.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМОНТ ТОННЕЛЕЙ И МОСТОВ""",Юридическое лицо,Малое предприятие,7714938300,77 - г.Москва,,,10.08.2017,Да,38.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 10""",Юридическое лицо,Малое предприятие,1659002192,16 - Республика Татарстан (Татарстан),г Казань,,10.08.2017,Нет,29.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМСТРОЙ-АЛЕКСС""",Юридическое лицо,Среднее предприятие,7713161050,77 - г.Москва,,,10.08.2017,Да,167.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМСТРОЙЦЕНТР""",Юридическое лицо,Малое предприятие,2536131136,25 - Приморский край,г Владивосток,,10.08.2018,Нет,72.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕНЕССАНС АКТИВ""",Юридическое лицо,Среднее предприятие,2543028394,25 - Приморский край,г Владивосток,,10.08.2017,Да,2.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РСУ КУРОРТА""",Юридическое лицо,Малое предприятие,2203003875,22 - Алтайский край,г Белокуриха,,10.08.2020,Нет,43.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССТРОЙКОМПЛЕКТ""",Юридическое лицо,Малое предприятие,9701187346,77 - г.Москва,,,10.11.2021,Нет,17.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САТУРН""",Юридическое лицо,Малое предприятие,3207001905,32 - Брянская область,,с Супонево,10.08.2017,Нет,90.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВС-ЭМ""",Юридическое лицо,Среднее предприятие,7728786311,77 - г.Москва,,,10.08.2017,Да,112.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРЭКСКАВАЦИЯ""",Юридическое лицо,Малое предприятие,8300003864,83 - Ненецкий автономный округ,,рп Искателей,10.08.2017,Да,6.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБСТРОЙСЕРВИС""",Юридическое лицо,Среднее предприятие,7224001941,72 - Тюменская область,,,10.07.2021,Да,16.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИГНАЛ""",Юридическое лицо,Малое предприятие,7708280326,77 - г.Москва,,,10.08.2017,Да,9.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИЛЕОН""",Юридическое лицо,Малое предприятие,7801070620,78 - г.Санкт-Петербург,,,10.08.2017,Да,5.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМАРТ СИСТЕМС""",Юридическое лицо,Малое предприятие,9722013742,47 - Ленинградская область,г Всеволожск,,10.01.2022,Нет,2.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМОЛСТРОМ-СЕРВИС""",Юридическое лицо,Среднее предприятие,6731028404,67 - Смоленская область,г Смоленск,,10.08.2017,Нет,41.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМП-1""",Юридическое лицо,Малое предприятие,5046048999,77 - г.Москва,г Троицк,,10.08.2017,Да,44.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМП-280""",Юридическое лицо,Среднее предприятие,7203047511,72 - Тюменская область,г Тюмень,,10.08.2017,Да,58.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМУ -25""",Юридическое лицо,Малое предприятие,2809000390,28 - Амурская область,г Шимановск,,10.08.2017,Да,45.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМУ-ДОНАЭРОДОРСТРОЙ""",Юридическое лицо,Малое предприятие,6163068567,61 - Ростовская область,г Ростов-на-Дону,,10.08.2017,Да,68.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦГАЗМОНТАЖ-ПОДВОДСТРОЙ""",Юридическое лицо,Малое предприятие,6658521941,66 - Свердловская область,г Екатеринбург,,10.09.2021,Да,242.0
